N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
124,녹십자,"184,500","1,000",+0.54%,"5,000","21,562","11,687",22.83,"26,405",18.77,10.30,
125,현대차우,"88,400",600,+0.68%,"5,000","21,531","24,357",57.61,"20,647",4.71,N/A,
126,KODEX 200선물인버스2X,"3,345",20,+0.60%,0,"21,405","639,900",4.62,"232,580,172",N/A,N/A,
127,하이트진로,"29,850",50,-0.17%,"5,000","20,935","70,134",11.37,"201,103",26.68,6.62,
128,BNK금융지주,"6,380",70,-1.09%,"5,000","20,795","325,935",39.14,"1,080,399",2.38,8.76,
129,신세계,"211,000","3,000",-1.40%,"5,000","20,773","9,845",26.92,"35,335",5.80,8.54,
130,대우조선해양,"19,350",150,+0.78%,"5,000","20,761","107,291",3.05,"271,521",-1.06,-55.86,
131,대웅제약,"177,000","1,500",-0.84%,"2,500","20,508","11,587",7.77,"26,527",33.41,4.39,
132,대한전선,"1,645",50,-2.95%,100,"20,472","1,244,473",1.68,"16,596,623",38.26,7.78,
133,TIGER 미국나스닥100,"68,640",275,-0.40%,0,"20,304","29,580",0.06,"91,355",N/A,N/A,
134,현대로템,"18,500",300,+1.65%,"5,000","20,191","109,142",4.48,"666,382",27.57,5.01,
135,TIGER 200,"30,785",80,-0.26%,0,"20,026","65,050",0.00,"752,444",N/A,N/A,
136,씨에스윈드,"46,600",550,-1.17%,500,"19,652","42,171",10.42,"135,288",59.14,10.13,
137,LG화학우,"249,500","11,500",+4.83%,"5,000","19,184","7,689",69.94,"10,720",6.40,N/A,
138,DB하이텍,"42,850","1,400",+3.38%,"5,000","19,025","44,399",24.78,"1,499,801",4.46,33.35,
139,두산퓨얼셀,"28,900",0,0.00%,100,"18,928","65,494",14.36,"173,074",234.96,1.69,
140,키움증권,"72,000","2,100",-2.83%,"5,000","18,878","26,220",24.08,"93,451",2.61,25.38,
141,SK케미칼,"105,000","1,000",+0.96%,"5,000","18,502","17,621",19.01,"45,458",13.35,11.19,
142,한화생명,"2,105",15,-0.71%,"5,000","18,283","868,530",7.63,"1,796,218",1.99,10.79,
143,한화,"23,500",150,-0.63%,"5,000","17,615","74,959",14.42,"197,777",3.60,20.22,
144,KODEX 단기채권PLUS,"103,710",25,+0.02%,0,"17,589","16,960",0.00,"564,921",N/A,N/A,
145,TIGER 단기통안채,"100,965",25,+0.02%,0,"17,432","17,265",0.70,"1,549",N/A,N/A,
146,농심,"280,500","2,500",-0.88%,"5,000","17,062","6,083",13.43,"23,627",16.43,4.73,
147,LS,"52,800","1,100",+2.13%,"5,000","17,002","32,200",14.17,"182,562",4.90,8.15,
148,롯데정밀화학,"65,500",600,-0.91%,"5,000","16,899","25,800",20.72,"69,668",2.94,30.43,
149,한전KPS,"37,550",150,-0.40%,200,"16,898","45,000",5.31,"155,792",22.39,9.12,
150,휠라홀딩스,"27,650",550,-1.95%,"1,000","16,798","60,752",38.18,"138,749",7.42,16.20,
151,영원무역,"37,900",150,+0.40%,500,"16,794","44,311",28.71,"80,236",4.83,14.71,
152,오뚜기,"451,000",0,0.00%,"5,000","16,561","3,672",12.08,"7,348",11.35,8.91,
153,TIGER 미국S&P500,"12,505",85,-0.68%,0,"16,250","129,950",0.04,"611,834",N/A,N/A,
154,대웅,"27,500",800,-2.83%,500,"15,989","58,142",4.42,"28,341",16.14,11.13,
155,롯데칠성,"172,000","5,000",-2.82%,500,"15,960","9,279",11.33,"21,908",11.01,9.96,
156,코스모신소재,"51,200","1,200",+2.40%,"1,000","15,693","30,651",7.57,"889,351",73.35,9.42,
157,현대위아,"57,600",900,-1.54%,"5,000","15,664","27,195",8.34,"216,424",28.73,1.96,
158,LIG넥스원,"70,200","3,900",+5.88%,"5,000","15,444","22,000",9.03,"233,417",12.17,14.63,
159,효성,"73,200",400,-0.54%,"5,000","15,424","21,071",5.65,"29,135",3.79,18.04,
160,후성,"16,500",350,+2.17%,500,"15,280","92,607",7.51,"1,839,859",24.92,9.61,
161,LS ELECTRIC,"50,600",200,+0.40%,"5,000","15,180","30,000",13.04,"171,640",14.76,5.86,
162,솔루스첨단소재,"42,650",550,+1.31%,100,"14,975","35,111",6.35,"214,492",178.45,4.00,
163,동원시스템즈,"51,200",200,+0.39%,"5,000","14,944","29,188",13.07,"18,127",34.57,6.95,
164,현대백화점,"63,800",500,-0.78%,"5,000","14,931","23,402",20.33,"77,231",7.16,4.36,
165,DL이앤씨,"38,450",200,-0.52%,"5,000","14,878","38,694",21.58,"211,804",3.18,N/A,
166,효성첨단소재,"330,500","6,000",-1.78%,"5,000","14,806","4,480",6.67,"33,254",5.60,54.69,
167,에스엘,"30,950",400,-1.28%,500,"14,376","46,449",14.45,"142,681",17.88,6.63,
168,신풍제약,"26,850",200,+0.75%,500,"14,226","52,985",5.72,"518,836",-80.63,-3.19,
169,JB금융지주,"7,160",90,+1.27%,"5,000","14,104","196,983",27.70,"118,948",2.61,12.80,
170,대덕전자,"28,000",650,-2.27%,500,"13,837","49,417",19.06,"535,081",16.60,9.55,
171,DL,"65,900",100,+0.15%,"5,000","13,810","20,956",10.72,"63,310",2.25,26.52,
172,한미반도체,"13,950",50,+0.36%,100,"13,799","98,920",5.25,"395,600",13.31,34.59,
173,코오롱인더,"49,850",650,-1.29%,"5,000","13,718","27,519",17.95,"94,085",6.68,8.20,
174,KODEX 종합채권(AA-이상)액티브,"103,110",140,+0.14%,0,"13,537","13,129",0.00,"2,039",N/A,N/A,
175,롯데렌탈,"36,900",100,+0.27%,"5,000","13,518","36,634",4.88,"13,541",9.26,12.28,
176,한샘,"57,200",300,-0.52%,"1,000","13,461","23,534",13.95,"58,835",24.97,9.10,
177,KODEX KOFR금리액티브(합성),"100,370",5,0.00%,0,"13,244","13,195",0.00,"2,724",N/A,N/A,
178,TIGER 미국필라델피아반도체나스닥,"9,080",60,+0.67%,0,"13,220","145,600",0.61,"1,034,286",N/A,N/A,
179,KODEX 단기채권,"103,410",5,0.00%,0,"13,215","12,779",0.31,"941,485",N/A,N/A,
180,효성티앤씨,"303,000","7,500",-2.42%,"5,000","13,113","4,328",9.65,"17,891",1.88,76.22,
181,TIGER 미국테크TOP10 INDXX,"10,125",45,-0.44%,0,"13,056","128,950",0.39,"426,182",N/A,N/A,
182,TIGER TOP10,"10,075",20,-0.20%,0,"13,002","129,050",0.50,"162,713",N/A,N/A,
183,DGB금융지주,"7,520",60,-0.79%,"5,000","12,720","169,146",48.80,"236,236",2.35,9.63,
184,대성홀딩스,"78,800","1,300",-1.62%,"1,000","12,678","16,089",5.02,"183,400",72.96,3.61,
185,KODEX 삼성그룹,"8,105",15,-0.18%,0,"12,676","156,400",0.09,"1,368,529",N/A,N/A,
186,KG스틸,"12,600",200,+1.61%,"5,000","12,601","100,009",1.63,"636,228",5.45,17.99,
187,롯데리츠,"5,110",70,-1.35%,500,"12,416","242,969",10.80,"138,438",33.62,1.59,
188,KODEX 2차전지산업,"17,445",290,+1.69%,0,"12,264","70,300",0.55,"2,077,727",N/A,N/A,
189,서울가스,"243,500",0,0.00%,"5,000","12,175","5,000",4.53,"8,967",66.24,0.80,
190,아이에스동서,"38,800",700,+1.84%,500,"11,986","30,893",6.17,"60,663",6.96,8.69,
191,TIGER MSCI Korea TR,"12,595",15,-0.12%,0,"11,663","92,600",4.75,"6,088",N/A,N/A,
192,TIGER 2차전지테마,"17,580",310,+1.80%,0,"11,585","65,900",0.78,"1,291,793",N/A,N/A,
193,동국제강,"12,100",200,-1.63%,"5,000","11,547","95,433",22.51,"412,807",1.46,23.41,
194,진원생명과학,"14,850","3,100",+26.38%,"1,000","11,535","77,679",13.49,"18,274,959",-57.56,-10.50,
195,ESR켄달스퀘어리츠,"5,330",50,+0.95%,"1,000","11,358","213,089",52.66,"148,070",38.07,1.34,
196,한국앤컴퍼니,"11,850",150,-1.25%,500,"11,250","94,935",9.22,"44,608",6.31,5.53,
197,일진하이솔루스,"30,900",100,+0.32%,500,"11,221","36,313",1.55,"51,478",115.73,4.97,
198,LX인터내셔널,"28,850",50,+0.17%,"5,000","11,182","38,760",26.21,"242,837",2.52,22.49,
199,일동제약,"41,600",50,-0.12%,"1,000","11,150","26,803",3.41,"2,045,441",-4.82,-48.94,
200,NHN,"29,250","1,750",+6.36%,500,"10,974","37,518",15.16,"264,512",11.94,6.81,
